Xvalue,Yvalue,Zvalue,,TPC,PD,Prob,,X90,Y90,Z90,,X80,Y80,Z80,,X70,Y70,Z70,,X60,Y60,Z60
123.7,3592,0.9436,,,,,,123.7,3592,0.9436,,,,,,,,,,,,
133.8,3464.3,0.9428,,,,,,133.8,3464.3,0.9428,,,,,,,,,,,,
133.2,3464.2,0.9424,,,,,,133.2,3464.2,0.9424,,,,,,,,,,,,
128.7,3481.9,0.942,,,,,,128.7,3481.9,0.942,,,,,,,,,,,,
121.9,3633.8,0.9418,,,,,,121.9,3633.8,0.9418,,,,,,,,,,,,
124.5,3544.4,0.9418,,,,,,124.5,3544.4,0.9418,,,,,,,,,,,,
127.6,3483.4,0.9402,,,,,,127.6,3483.4,0.9402,,,,,,,,,,,,
122,3610.6,0.94,,,,,,122,3610.6,0.94,,,,,,,,,,,,
119.7,3753.9,0.9398,,,,,,119.7,3753.9,0.9398,,,,,,,,,,,,
120.4,3676.2,0.9378,,,,,,120.4,3676.2,0.9378,,,,,,,,,,,,
121.3,3614.9,0.9372,,,,,,121.3,3614.9,0.9372,,,,,,,,,,,,
122.5,3574.4,0.937,,,,,,122.5,3574.4,0.937,,,,,,,,,,,,
118.8,3793.5,0.9362,,,,,,118.8,3793.5,0.9362,,,,,,,,,,,,
132.1,3440.5,0.936,,,,,,132.1,3440.5,0.936,,,,,,,,,,,,
120.8,3627.4,0.9358,,,,,,120.8,3627.4,0.9358,,,,,,,,,,,,
124.1,3510,0.9354,,,,,,124.1,3510,0.9354,,,,,,,,,,,,
121,3608.9,0.9352,,,,,,121,3608.9,0.9352,,,,,,,,,,,,
125.7,3479.7,0.9344,,,,,,125.7,3479.7,0.9344,,,,,,,,,,,,
119.6,3663.2,0.9338,,,,,,119.6,3663.2,0.9338,,,,,,,,,,,,
139.7,3418.2,0.933,,,,,,139.7,3418.2,0.933,,,,,,,,,,,,
120.1,3640.9,0.933,,,,,,120.1,3640.9,0.933,,,,,,,,,,,,
123.5,3500.9,0.932,,,,,,123.5,3500.9,0.932,,,,,,,,,,,,
118.5,3774.4,0.9318,,,,,,118.5,3774.4,0.9318,,,,,,,,,,,,
120.8,3579.7,0.9314,,,,,,120.8,3579.7,0.9314,,,,,,,,,,,,
127,3439.5,0.9296,,,,,,127,3439.5,0.9296,,,,,,,,,,,,
121.4,3542.2,0.9286,,,,,,121.4,3542.2,0.9286,,,,,,,,,,,,
125.8,3442.1,0.9278,,,,,,125.8,3442.1,0.9278,,,,,,,,,,,,
123.7,3477.3,0.9276,,,,,,123.7,3477.3,0.9276,,,,,,,,,,,,
117.9,3762.6,0.9274,,,,,,117.9,3762.6,0.9274,,,,,,,,,,,,
120.5,3550.5,0.927,,,,,,120.5,3550.5,0.927,,,,,,,,,,,,
129,3407,0.9268,,,,,,129,3407,0.9268,,,,,,,,,,,,
126.6,3429.8,0.9264,,,,,,126.6,3429.8,0.9264,,,,,,,,,,,,
119.5,3578.9,0.9256,,,,,,119.5,3578.9,0.9256,,,,,,,,,,,,
118.1,3703.6,0.9248,,,,,,118.1,3703.6,0.9248,,,,,,,,,,,,
128.9,3400.4,0.9246,,,,,,128.9,3400.4,0.9246,,,,,,,,,,,,
123.5,3461.1,0.9246,,,,,,123.5,3461.1,0.9246,,,,,,,,,,,,
